"P.E.O.P.L.E. Population Estimates and Projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Author: BC Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release date: July 21, 2025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Geographic level: Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Years: 1971-2046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Region","Municipality","Gender","Age","Estimate_2001","Estimate_2002","Estimate_2003","Estimate_2004","Estimate_2005","Estimate_2006","Estimate_2007","Estimate_2008","Estimate_2009","Estimate_2010","Estimate_2011","Estimate_2012","Estimate_2013","Estimate_2014","Estimate_2015","Estimate_2016","Estimate_2017","Estimate_2018","Estimate_2019","Estimate_2020","Estimate_2021","Estimate_2022","Estimate_2023","Estimate_2024","Projection_2025","Projection_2026","Projection_2027","Projection_2028","Projection_2029","Projection_2030","Projection_2031","Projection_2032","Projection_2033","Projection_2034","Projection_2035","Projection_2036","Projection_2037","Projection_2038","Projection_2039","Projection_2040","Projection_2041","Projection_2042","Projection_2043","Projection_2044","Projection_2045","Projection_2046"
"15001","Langley, District Municipality","T","Total"," 90,441"," 91,769"," 92,829"," 93,881"," 95,250"," 96,770"," 98,218","100,818","102,987","105,033","106,658","109,586","112,735","115,785","118,718","122,967","126,951","130,643","133,383","135,887","138,424","146,457","154,843","162,279","165,710","168,132","172,215","176,905","181,523","185,776","189,701","193,329","196,715","199,878","202,817","205,527","208,011","210,263","212,251","214,215","216,117","217,984","219,825","221,628","223,352","225,034"
"15002","Langley, City of","T","Total"," 24,657"," 24,640"," 24,558"," 24,459"," 24,419"," 24,355"," 24,625"," 24,982"," 25,230"," 25,516"," 25,717"," 26,213"," 26,532"," 26,655"," 26,474"," 27,167"," 27,873"," 28,417"," 28,876"," 29,521"," 30,330"," 32,164"," 33,622"," 35,315"," 36,104"," 36,650"," 37,485"," 38,418"," 39,262"," 40,005"," 40,645"," 41,222"," 41,750"," 42,261"," 42,737"," 43,169"," 43,614"," 44,045"," 44,465"," 44,867"," 45,278"," 45,669"," 46,046"," 46,429"," 46,796"," 47,146"
"15004","Surrey","T","Total","363,634","372,838","380,969","389,099","398,732","409,234","420,605","434,196","449,617","467,408","482,058","496,859","508,962","522,484","530,344","543,492","553,178","563,847","578,425","589,550","597,133","619,231","655,671","700,459","726,369","740,838","756,372","771,675","786,705","802,163","818,114","834,100","849,545","864,087","877,543","889,828","900,947","910,834","919,489","927,947","936,222","944,319","952,271","960,075","967,602","974,867"
"15007","White Rock","T","Total"," 18,847"," 18,923"," 18,960"," 18,997"," 19,064"," 19,192"," 19,049"," 19,095"," 19,448"," 19,749"," 19,563"," 19,713"," 19,755"," 20,149"," 20,296"," 20,645"," 21,117"," 21,640"," 21,967"," 22,246"," 22,581"," 23,488"," 24,585"," 25,124"," 25,174"," 25,124"," 25,355"," 25,715"," 26,047"," 26,376"," 26,689"," 26,988"," 27,275"," 27,573"," 27,851"," 28,128"," 28,393"," 28,682"," 28,952"," 29,214"," 29,477"," 29,728"," 29,990"," 30,234"," 30,465"," 30,697"
"15011","Delta","T","Total","100,610","100,592","100,206"," 99,751"," 99,560"," 99,297"," 99,285"," 99,759","100,362","101,590","101,847","102,761","103,601","105,019","105,366","106,574","107,636","109,492","111,041","112,463","113,083","115,559","120,132","125,162","127,436","129,097","132,020","135,356","138,505","141,273","143,705","145,829","147,774","149,559","151,214","152,803","154,334","155,829","157,307","158,751","160,163","161,564","162,922","164,251","165,548","166,791"
"15015","Richmond","T","Total","171,268","173,251","174,681","176,032","178,027","180,317","183,632","186,826","191,021","194,489","194,967","197,046","200,440","203,212","204,463","207,593","209,603","212,864","216,790","218,915","221,177","228,170","236,807","242,965","242,454","240,950","242,409","245,093","247,836","250,589","253,251","255,883","258,477","261,075","263,708","266,319","268,931","271,523","274,110","276,625","279,096","281,498","283,877","286,206","288,438","290,613"
"15022","Vancouver","T","Total","572,395","578,020","581,952","586,298","593,052","600,284","603,208","606,639","615,583","619,227","622,482","632,241","642,995","653,121","656,701","664,901","670,402","679,597","694,575","701,152","696,023","706,268","733,222","756,008","754,003","746,606","748,499","754,142","760,103","766,199","772,334","778,529","784,942","791,582","798,499","805,665","813,045","820,639","828,445","836,049","843,497","850,791","857,950","864,988","871,750","878,304"
"15025","Burnaby","T","Total","202,674","204,286","205,274","206,282","208,056","210,142","214,423","218,244","223,051","226,509","229,649","233,913","236,242","240,584","240,796","244,579","246,510","250,246","255,252","258,694","261,807","271,128","285,018","298,978","305,252","309,349","316,056","323,478","330,373","336,427","341,778","346,604","351,093","355,312","359,365","363,251","367,012","370,651","374,160","377,591","380,970","384,258","387,489","390,673","393,722","396,697"
"15029","New Westminster","T","Total"," 57,219"," 57,928"," 58,465"," 59,013"," 59,799"," 60,691"," 61,964"," 63,692"," 65,256"," 66,866"," 67,946"," 69,662"," 69,484"," 71,699"," 72,708"," 74,759"," 76,190"," 78,125"," 80,086"," 82,132"," 82,943"," 85,358"," 88,654"," 92,435"," 92,951"," 93,108"," 94,358"," 96,082"," 97,820"," 99,494","101,080","102,571","104,026","105,390","106,718","107,967","109,163","110,290","111,340","112,373","113,373","114,351","115,302","116,250","117,160","118,038"
"15034","Coquitlam","T","Total","117,951","118,284","118,207","118,055","118,326","118,652","119,082","120,680","123,995","127,587","130,540","134,128","137,873","141,268","143,549","146,146","148,353","149,904","151,639","153,435","155,553","160,449","167,275","174,247","177,332","179,437","183,300","187,706","191,929","195,690","199,071","202,142","204,984","207,662","210,174","212,574","214,847","217,024","219,085","221,094","223,074","224,992","226,885","228,744","230,536","232,273"
